text,created_at,author/followers_count,author/screen_name
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395348387,165,tracyscanlan3
"Not a cult, at all-&gt; RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow",1395348386,1162,bakedflounder
RT @YDMO: RT if you agree with @BarackObama: MO's legislature isn't doing the right thing when it comes to #MedicaidExpansion - http://t.co…,1395348381,1026,mizzoudems
"RT @BarackObama: President Obama: Today, more women are bread winners than ever before, but they are still making less than men. #WomenSucc…",1395348380,174,chantelltelle
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395348378,234,Germontani
"RT @BarackObama: ""When women make less than men, that hurts their families."" —President Obama #WomenSucceed",1395348376,115,trminally_trill
"RT @BarackObama: President Obama: Today, more women are bread winners than ever before, but they are still making less than men. #WomenSucc…",1395348375,75,rachelcsquared
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348375,466,momjustice
"RT @BarackObama: President Obama: Today, more women are bread winners than ever before, but they are still making less than men. #WomenSucc…",1395348374,36,Alectrifying
"RT @BarackObama: ""No woman should have to put off potentially lifesaving care because money is tight."" —President Obama #WomenSucceed",1395348371,82,Selk_EF
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395348371,50,Grassalyn
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348370,188,Adhe_yayat
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395348367,193,LaCholaNasty
RT @YDMO: RT if you agree with @BarackObama: MO's legislature isn't doing the right thing when it comes to #MedicaidExpansion - http://t.co…,1395348363,82,CalebCavarretta
"RT @BarackObama: ""No woman should have to put off potentially lifesaving care because money is tight."" —President Obama #WomenSucceed",1395348362,20,Mununura
RT @camilacabello97: @harrys_hairy @BarackObama HE'S MINE!!!!,1395348362,542,fetisharry
